pct_rise_total,dollars_per_code,base_total,rise_total,affected_weight,codes_added_total,feature_set,model,pool,share_affected,codes_added,fold
68.84448174998064,11043.66810381466,554279991189.4722,381591187378.23047,17276469.366479002,4416,F3,Tweedie GLM,own-targeted,0.25,2,0
0.5370080781658177,863.8668873160259,548317862947.446,2944511218.0539627,3408524.231322667,413,F3,Two-part,prevalence,0.05,1,0
1.0553955396575114,803.843388240165,548317862947.446,5786922268.692732,3599533.4124485995,902,F3,Two-part,prevalence,0.05,2,0
1.0383841003645145,859.4948171078705,548317862947.446,5693645508.304768,6624409.3564908495,863,F3,Two-part,prevalence,0.1,1,0
2.3771320608186404,941.417881900124,548317862947.446,13034239715.319351,6922664.188729616,1734,F3,Two-part,prevalence,0.1,2,0
2.754085033485507,899.6407201949903,548317862947.446,15101140199.363186,16785745.531938717,2204,F3,Two-part,prevalence,0.25,1,0
5.723539908321904,908.2640395018067,548317862947.446,31383191710.254875,17276469.366479002,4416,F3,Two-part,prevalence,0.25,2,0
0.9234541294212518,1485.529690888449,548317862947.446,5063463947.74255,3408524.231322667,413,F3,Two-part,chronic,0.05,1,0
2.086764453857523,1589.3868658875663,548317862947.446,11442102258.138514,3599533.4124485995,902,F3,Two-part,chronic,0.05,2,0
1.8510717541362105,1532.175404280889,548317862947.446,10149757083.903471,6624409.3564908495,863,F3,Two-part,chronic,0.1,1,0
4.523825191832293,1791.5748141962813,548317862947.446,24804941615.333027,6922664.188729616,1734,F3,Two-part,chronic,0.1,2,0
4.749266860241986,1551.380515342677,548317862947.446,26041078553.750122,16785745.531938717,2204,F3,Two-part,chronic,0.25,1,0
10.584617099438113,1679.664549789816,548317862947.446,58037346280.809006,17276469.366479002,4416,F3,Two-part,chronic,0.25,2,0
1.5985899359729587,2571.5980228834997,548317862947.446,8765354174.219872,3408524.231322667,413,F3,Two-part,targeted,0.05,1,0
4.080294487576026,3107.761614167096,548317862947.446,22372983536.239307,3599533.4124485995,902,F3,Two-part,targeted,0.05,2,0
3.3887225422861667,2804.9249412516333,548317862947.446,18580971025.08187,6624409.3564908495,863,F3,Two-part,targeted,0.1,1,0
8.866263859362792,3511.3149498200096,548317862947.446,48615308516.93981,6922664.188729616,1734,F3,Two-part,targeted,0.1,2,0
8.663350686940106,2829.9427782869775,548317862947.446,47502699346.27287,16785745.531938717,2204,F3,Two-part,targeted,0.25,1,0
20.792913816442557,3299.611114526518,548317862947.446,114011260682.82205,17276469.366479002,4416,F3,Two-part,targeted,0.25,2,0
1.9335925841044166,3110.505548953504,548317862947.446,10602233535.271635,3408524.231322667,413,F3,Two-part,own-targeted,0.05,1,0
4.938414228406967,3761.3496331283686,548317862947.446,27078207360.693687,3599533.4124485995,902,F3,Two-part,own-targeted,0.05,2,0
4.061404498644386,3361.719536670528,548317862947.446,22269406352.618332,6624409.3564908495,863,F3,Two-part,own-targeted,0.1,1,0
10.575053177021442,4188.048416403168,548317862947.446,57984905585.799965,6922664.188729616,1734,F3,Two-part,own-targeted,0.1,2,0
10.088733116676048,3295.553701715161,548317862947.446,55318325823.82937,16785745.531938717,2204,F3,Two-part,own-targeted,0.25,1,0
25.197491786654926,3998.570123043099,548317862947.446,138162348480.94452,17276469.366479002,4416,F3,Two-part,own-targeted,0.25,2,0
0.3657142737924355,584.5631619696048,544823608236.537,1992497702.311995,3408524.231322667,413,F3,LightGBM (Tweedie),prevalence,0.05,1,0
0.7556464857811795,571.8714035418614,544823608236.537,4116940449.345613,3599533.4124485995,902,F3,LightGBM (Tweedie),prevalence,0.05,2,0
0.6835993578229734,562.2253225525079,544823608236.537,3724410687.1729193,6624409.3564908495,863,F3,LightGBM (Tweedie),prevalence,0.1,1,0
1.4243131366587058,560.477441355927,544823608236.537,7759994223.730959,6922664.188729616,1734,F3,LightGBM (Tweedie),prevalence,0.1,2,0
1.6479201322675576,534.8739445854958,544823608236.537,8978257925.476421,16785745.531938717,2204,F3,LightGBM (Tweedie),prevalence,0.25,1,0
3.6989600879012396,583.2443941710332,544823608236.537,20152807818.132915,17276469.366479002,4416,F3,LightGBM (Tweedie),prevalence,0.25,2,0
0.6957602406797161,1112.1135690079832,544823608236.537,3790666047.9464436,3408524.231322667,413,F3,LightGBM (Tweedie),chronic,0.05,1,0
1.489087417026741,1126.937697978264,544823608236.537,8112899795.241339,3599533.4124485995,902,F3,LightGBM (Tweedie),chronic,0.05,2,0
1.261524200627404,1037.5387900659919,544823608236.537,6873081668.635351,6624409.3564908495,863,F3,LightGBM (Tweedie),chronic,0.1,1,0
2.7428384973980005,1079.3266336646411,544823608236.537,14943631669.6246,6922664.188729616,1734,F3,LightGBM (Tweedie),chronic,0.1,2,0
3.291346368951714,1068.2892822821116,544823608236.537,17932032046.88497,16785745.531938717,2204,F3,LightGBM (Tweedie),chronic,0.25,1,0
6.84560200148209,1079.400398276759,544823608236.537,37296455829.98732,17276469.366479002,4416,F3,LightGBM (Tweedie),chronic,0.25,2,0
0.7818382637202269,1249.7019677403005,544823608236.537,4259639438.974432,3408524.231322667,413,F3,LightGBM (Tweedie),targeted,0.05,1,0
1.8443011038781287,1395.7625432986015,544823608236.537,10048187820.895103,3599533.4124485995,902,F3,LightGBM (Tweedie),targeted,0.05,2,0
