model,model_key,group,pr,nc,mean_cost,mae,n,nc_lo,nc_hi,nc_minus_wls,nc_minus_wls_lo,nc_minus_wls_hi,target_group
Random forest,rf,Age 65 and over,0.935610533049836,-1079.2297897956364,16760.96791779527,13347.233439521058,9490,-1903.574726534227,-429.2063618245638,-1077.8306335167238,-1278.8818167674865,-893.0286958935392,False
Random forest,rf,Uninsured all year,1.2455176023688275,589.4177851541323,2400.7149771228355,3326.996512027818,3114,87.71954143298925,1064.425745831944,715.706601607219,542.2304258629644,913.8870410526087,False
Random forest,rf,Died in year 2,0.331453123114708,-44293.98846383465,66254.1251709931,54347.66159731181,395,-55267.05299370662,-33279.04781695693,-686.9159011153703,-2372.373579027942,1249.163388138213,False
Neural network,mlp,Income below 200% FPL,0.9990436926686318,-7.49274291150009,7835.0783955402985,7553.717298544566,15406,-503.72755985425226,434.3869866296177,84.43342910039216,-47.126532708814494,222.68008802581696,True
Neural network,mlp,Hispanic,0.9883813643480526,-55.90076020123248,4811.3015913244535,5300.7593427443,9944,-825.1942772561465,533.4612734194856,215.24218345262986,116.03500902735482,321.38622271505915,False
Neural network,mlp,Non-Hispanic Black,0.9685661270560794,-209.46948524117806,6663.814084089429,6583.819112755584,6187,-881.4836608660235,463.6850904242997,-7.1791832578829355,-170.09698242785242,175.95171679464679,False
Neural network,mlp,Non-Hispanic Asian,1.042789891566604,210.82271961379308,4926.928110711395,5283.972143102867,2348,-339.445954224698,737.4397340827757,32.16331597396829,-159.13315013487446,220.55925084896435,False
Neural network,mlp,Needs ADL or IADL help,0.7808919320013504,-6864.372489972488,31328.707120062754,24841.906603229396,1612,-11596.924938819884,-3450.1343012613,882.3511836576112,82.83467788611581,1675.702848050061,True
Neural network,mlp,Mental health condition,0.9878582074385408,-172.20056458112632,14182.466362317144,12315.363278688163,7175,-863.2283410532317,418.39954190184767,-365.65057367181424,-567.6808273606196,-132.70505206342588,True
Neural network,mlp,Age 65 and over,0.9726223920939033,-458.8752077800627,16760.96791779527,14796.169971038738,9490,-1266.6401133312827,237.78957300561365,-457.47605150114987,-633.7154595786628,-248.0582897696831,False
Neural network,mlp,Uninsured all year,1.1855495798117286,445.45165525286535,2400.7149771228355,3343.9904673299757,3114,-85.00078280188293,962.1458132812769,571.7404717059521,417.3997190665603,710.527399039341,False
Neural network,mlp,Died in year 2,0.35450568553014633,-42766.661108050066,66254.1251709931,56141.776191973964,395,-53572.83759767125,-31421.120542844223,840.4114546692144,-621.8407906997852,2368.2996718050963,False
CANN,cann,Income below 200% FPL,1.01897626347367,148.68051197063193,7835.0783955402985,7342.2997794900875,15406,-376.5631965948417,579.8334421861745,240.60668398252417,116.31552305428077,397.7066108108054,True
CANN,cann,Hispanic,0.9999127403835598,-0.4198323314366161,4811.3015913244535,5289.940947369592,9944,-794.1407380462356,593.882095116044,270.7231113224257,189.3287507033818,360.1497434876561,False
CANN,cann,Non-Hispanic Black,0.9976716716377277,-15.515547332894991,6663.814084089429,6518.049484824912,6187,-680.5325396883059,619.5462788751523,186.77475465040015,38.41199826086767,364.8495258252845,False
CANN,cann,Non-Hispanic Asian,1.075047302581106,369.75266471991455,4926.928110711395,5286.664347323625,2348,-171.6634716114105,849.6890005614194,191.09326108008977,19.40787106075756,373.0752589174543,False
CANN,cann,Needs ADL or IADL help,0.8549160599262501,-4545.292266395249,31328.707120062754,24405.781275739264,1612,-9068.863975603039,-1056.5604977013775,3201.431407234851,2438.6067912909148,4064.3242866884625,True
CANN,cann,Mental health condition,1.0510425067055842,723.9086344002952,14182.466362317144,12192.30429984013,7175,41.19236896702465,1417.891075914975,530.4586253096073,239.51599409470094,856.7186224510236,True
CANN,cann,Age 65 and over,1.0384965465243765,645.2393812409899,16760.96791779527,14689.264251456805,9490,-231.777002475326,1370.6091164950265,646.6385375199027,394.5455191463776,955.6891710556821,False
CANN,cann,Uninsured all year,1.169858565654823,407.7820025601357,2400.7149771228355,3323.230401710304,3114,-133.81054544226055,905.7826748210648,534.0708190132225,387.80563872404116,669.5288410308033,False
CANN,cann,Died in year 2,0.3634537623774525,-42173.81410456897,66254.1251709931,54155.43687184131,395,-52655.44747171523,-31637.751709235432,1433.2584581503033,323.4921291940097,3068.165057382209,False
